primary,imdb_estimate_emm,rt_estimate_emm,meta_estimate_emm,imdb_estimate_pred,rt_estimate_pred,meta_estimate_pred,imdb_estimate_coef,rt_estimate_coef,meta_estimate_coef,gross_estimate_emm,gross_normal,gross_stress,gross_estimate_pred,gross_estimate_coef,mean_rating_effect_emm,mean_rating_effect_pred,mean_rating_effect_coef
Collective Resilience,-0.13650623885909408,-2.9939156888305902,-3.2277753206545228,-0.13650623885909408,-2.9939156888305902,-3.2277753206545228,-0.13650623885909383,-2.993915688830593,-3.2277753206545228,-13645011.368474036,86072852.60452914,72427841.2360551,-14788502.571465582,1812186.443295979,-3411254.431667821,-3697127.2324157073,453045.02127468266
Comfort Nostalgia,0.12040037389001679,8.538095238096197,4.742816091953884,0.12040037389001679,8.538095238096197,4.742816091953884,0.12040037389001665,8.53809523809619,4.742816091953887,5153474.598427266,63564107.57766323,68717582.1760905,4009983.3954357207,20610672.410197288,1288371.9999347425,1002499.1991868562,5152671.452877248
Dark Empathy,0.04375903614457943,2.860017702801265,1.3256875499257816,0.04375903614457943,2.860017702801265,1.3256875499257816,0.0437590361445796,2.860017702801266,1.3256875499257834,7343914.3047316,44531844.55572912,51875758.86046072,6200423.101740055,22801112.116501622,1835979.6335489722,1550106.832801086,5700279.086491478
Dystopian Catharsis,0.01415182755388944,-0.11201923076918519,1.1951846657314888,0.01415182755388944,-0.11201923076918519,1.1951846657314888,0.01415182755388994,-0.11201923076918563,1.1951846657314906,10033613.347742379,48527643.54900201,58561256.896744385,8890122.144750841,25490811.159512404,2508403.61126491,2222530.8105170256,6372703.064207417
Heroic Escapism,-0.06369945024526746,-0.292515868033675,-0.43799208317031457,-0.06369945024526746,-0.292515868033675,-0.43799208317031457,-0.06369945024526741,-0.29251586803367857,-0.4379920831703137,5493427.443639874,98088637.05560249,103582064.49924237,4349936.240648329,20950625.255409896,1373356.6623581182,1087483.861610232,5237656.115300624
Humorous Escape,0.07001193602292144,1.542308114353716,0.7176662586699223,0.07001193602292144,1.542308114353716,0.7176662586699223,0.07001193602292172,1.5423081143537143,0.7176662586699187,2396903.7078713477,61218890.363048665,63615794.07092001,1253412.5048798174,17854101.519641373,599226.5094644142,313353.7087165316,4463525.96240692
Intelligent Rebellion,-0.002816275105606003,0.48053278688529133,1.1505154639174862,-0.002816275105606003,0.48053278688529133,1.1505154639174862,-0.0028162751056057533,0.4805327868852829,1.1505154639174844,4415172.817825764,54327626.67981401,58742799.497639775,3271681.6148342267,19872370.629595798,1103793.611514435,817920.8107665506,4968093.064456943
Redemptive Grit,-0.19571329944140636,1.0843753947201833,0.8335600323504835,-0.19571329944140636,1.0843753947201833,0.8335600323504835,-0.19571329944140625,1.0843753947201833,0.8335600323504835,3154379.421410337,54156621.00556323,57311000.42697357,2010888.218418792,18611577.23318036,788595.2859081161,502722.4851602299,4652894.7388506215
